id,color
1001,5.3
1003,5.4
1005,8.6
1007,6.6
1009,5.5
1011,7.2
1013,7.1
1015,6.7
1017,5.5
1019,5.2
1021,5.6
1023,8.9
1025,11.1
1027,6.2
1029,6.1
1031,6.1
1033,7.0
1035,8.6
1037,6.1
1039,7.0
1041,6.0
1043,5.1
1045,5.9
1047,9.4
1049,6.2
1051,4.9
1053,6.7
1055,6.0
1057,7.0
1059,6.1
1061,5.9
1063,10.1
1065,7.8
1067,6.6
1069,5.9
1071,6.4
1073,5.9
1075,5.7
1077,6.4
1079,7.0
1081,5.3
1083,5.3
1085,10.8
1087,7.7
1089,5.2
1091,7.4
1093,6.7
1095,5.5
1097,6.9
1099,9.4
1101,5.9
1103,5.6
1105,10.6
1107,6.9
1109,6.4
1111,5.7
1113,5.6
1115,5.3
1117,4.4
1119,7.8
1121,6.8
1123,5.6
1125,5.8
1127,7.6
1129,8.7
1131,14.7
1133,7.3
2013,2.7
2016,3.3
2020,5.3
2050,14.1
2060,6.9
2068,8.6
2070,9.7
2090,5.7
2100,9.8
2105,11.5
2110,4.4
2122,8.2
2130,6.2
2150,5.0
2158,21.3
2164,12.3
2170,8.1
2180,12.5
2185,6.5
2188,15.7
2195,8.6
2198,11.7
2220,4.3
2230,10.6
2240,10.2
2261,8.2
2275,7.3
2282,8.1
2290,17.2
4001,11.3
4003,6.1
4005,5.9
4007,7.2
4009,6.7
4011,7.6
4012,6.0
4013,4.5
4015,6.6
4017,8.1
4019,4.9
4021,5.5
4023,9.9
4025,4.9
4027,18.6
5001,3.5
5003,6.3
5005,4.3
5007,2.9
5009,3.7
5011,5.2
5013,4.7
5015,3.6
5017,6.6
5019,4.5
5021,5.7
5023,6.0
5025,4.6
5027,5.8
5029,5.8
5031,3.3
5033,3.9
5035,4.6
5037,4.5
5039,5.0
5041,5.5
5043,5.8
5045,3.8
5047,4.1
5049,4.4
5051,4.3
5053,3.6
5055,4.3
5057,3.8
5059,4.0
5061,3.3
5063,5.0
5065,5.6
5067,6.2
5069,5.6
5071,4.8
5073,5.9
5075,4.4
5077,4.8
5079,4.9
5081,4.7
5083,4.6
5085,3.4
5087,3.2
5089,4.0
5091,4.2
5093,6.8
5095,4.9
5097,5.3
5099,3.7
5101,3.9
5103,5.1
5105,4.8
5107,5.9
5109,4.3
5111,4.3
5113,4.9
5115,4.6
5117,3.9
5119,3.6
5121,4.7
5123,5.2
5125,3.2
5127,3.8
5129,4.5
5131,3.7
5133,5.0
5135,5.5
5137,5.2
5139,5.5
5141,7.0
5143,2.7
5145,5.2
5147,5.5
5149,4.5
6001,4.2
6003,6.5
6005,5.9
6007,6.5
6009,5.6
6011,15.5
6013,4.4
6015,7.5
6017,5.1
6019,9.4
6021,8.2
6023,4.9
6025,23.5
6027,5.2
6029,10.3
6031,10.0
6033,6.6
6035,6.9
6037,5.2
6039,9.2
6041,3.2
6043,6.9
6045,5.2
6047,10.5
6049,7.8
6051,5.3
6053,7.6
6055,4.3
6057,4.7
6059,4.0
6061,4.4
6063,9.6
6065,6.1
6067,5.4
6069,6.8
6071,5.7
6073,4.7
6075,3.3
6077,8.1
6079,4.3
6081,3.0
6083,5.0
6085,3.8
6087,6.9
6089,6.9
6091,7.6
6093,8.5
6095,5.5
6097,4.0
6099,8.5
6101,9.6
6103,7.1
6105,7.1
6107,11.0
6109,6.2
6111,5.2
6113,5.8
6115,8.5
8001,3.6
8003,4.1
8005,3.1
8007,3.3
8009,1.7
8011,3.1
8013,2.7
8014,2.9
8015,2.7
8017,2.3
8019,3.2
8021,4.9
8023,4.9
8025,3.6
8027,3.2
8029,5.0
8031,3.1
8033,4.0
8035,2.7
8037,2.8
8039,2.7
8041,3.8
8043,5.3
8045,3.6
8047,2.4
8049,2.7
8051,2.3
8053,2.3
8055,6.4
8057,2.7
8059,3.0
8061,2.1
8063,2.1
8065,2.9
8067,2.9
8069,2.8
8071,5.2
8073,2.6
8075,3.0
8077,5.4
8079,2.2
8081,4.0
8083,5.0
8085,4.2
8087,3.5
8089,4.8
8091,3.8
8093,2.8
8095,2.0
8097,3.4
8099,3.3
8101,4.9
8103,5.1
8105,5.1
8107,2.7
8109,4.9
8111,3.8
8113,3.3
8115,2.4
8117,2.1
8119,3.8
8121,2.2
8123,3.4
8125,2.2
9001,4.8
9003,5.3
9005,4.6
9007,4.4
9009,5.5
9011,5.0
9013,4.4
9015,5.5
10001,4.7
10003,4.3
10005,4.4
11001,6.0
12001,4.3
12003,4.9
12005,4.9
12007,4.3
12009,5.2
12011,4.6
12013,5.7
12015,5.3
12017,6.8
12019,4.5
12021,4.8
12023,4.8
12027,5.2
12029,5.5
12031,5.0
12033,4.9
12035,5.5
12037,4.3
12039,6.3
12041,5.1
12043,6.2
12045,4.5
12047,5.6
12049,6.7
12051,9.1
12053,6.1
12055,6.6
12057,4.5
12059,5.4
12061,6.2
12063,5.3
12065,5.3
12067,4.1
12069,4.9
12071,4.6
12073,4.6
12075,5.2
12077,5.3
12079,5.3
12081,4.6
12083,5.8
12085,4.9
12086,5.4
12087,3.2
12089,4.6
12091,4.0
12093,5.4
12095,4.4
12097,5.0
12099,4.8
12101,5.2
12103,4.4
12105,5.6
12107,6.3
12109,3.7
12111,5.7
12113,4.5
12115,4.6
12117,4.3
12119,7.0
12121,4.9
12123,5.5
12125,4.4
12127,5.1
12129,4.1
12131,4.3
12133,5.2
13001,6.4
13003,5.2
13005,5.3
13007,7.7
13009,6.8
13011,4.9
13013,4.7
13015,5.1
13017,8.1
13019,6.2
13021,6.0
13023,7.2
13025,6.7
13027,5.2
13029,4.9
13031,5.7
13033,7.6
13035,5.6
13037,5.8
13039,5.7
13043,4.9
13045,6.0
13047,4.8
13049,5.8
13051,5.2
13053,8.4
13055,6.2
13057,4.2
13059,5.6
13061,10.5
13063,6.6
13065,6.2
13067,4.6
13069,5.9
13071,5.3
13073,4.7
13075,5.4
13077,5.0
13079,5.9
13081,6.1
13083,5.1
13085,4.7
13087,6.7
13089,5.4
13091,7.4
13093,5.8
13095,6.9
13097,5.5
13099,7.0
13101,4.3
13103,4.9
13105,6.5
13107,7.8
13109,5.0
13111,5.3
13113,4.7
13115,6.0
13117,4.2
13119,5.3
13121,5.4
13123,5.6
13125,6.1
13127,5.3
13129,5.7
13131,5.5
13133,5.8
13135,4.7
13137,5.3
13139,4.5
13141,8.4
13143,5.8
13145,5.0
13147,5.5
13149,5.9
13151,5.5
13153,5.4
13155,7.7
13157,4.2
13159,4.8
13161,6.3
13163,7.5
13165,7.6
13167,6.2
13169,4.9
13171,6.5
13173,5.7
13175,6.7
13177,4.8
13179,5.8
13181,5.9
13183,5.5
13185,5.2
13187,4.9
13189,7.2
13191,5.8
13193,8.3
13195,5.0
13197,7.4
13199,6.8
13201,5.5
13205,6.6
13207,5.2
13209,7.6
13211,5.0
13213,6.9
13215,6.9
13217,6.0
13219,4.1
13221,4.9
13223,4.6
13225,6.9
13227,4.9
13229,5.4
13231,5.2
13233,6.1
13235,5.9
13237,7.0
13239,7.4
13241,5.9
13243,8.5
13245,6.7
